ORG_ID,WATER_SUPPLIER_NAME,WORKSHEET_NAME,REVIEWED_BY_DWR,REQUIREMENTS_ADDRESSED,WP_WUEDATA_PLAN_ID,USE_TYPE,ADDITIONAL_DESCRIPTION,LEVEL_OF_TREATMENT,VOLUME_AF
13,Adelanto  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5973,Multi-Family,,Drinking Water,162
13,Adelanto  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5973,Commercial,,Drinking Water,809
13,Adelanto  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5973,Industrial,,Drinking Water,0
13,Adelanto  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5973,Landscape,Agricultural and Non-Agricultural,Drinking Water,82
13,Adelanto  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5973,Other Potable,,Drinking Water,1
13,Adelanto  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5973,Losses,,Drinking Water,987
13,Adelanto  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5973,Single Family,,Drinking Water,2606
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Industrial,,Drinking Water,2410
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Commercial,,Drinking Water,4245
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Institutional/Governmental,,Drinking Water,1064
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Landscape,,Drinking Water,5463
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Other,Other Distribution System Demands,Drinking Water,83
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Losses,Gross Non-Revenue Water (difference between metered production and billed consumption),Drinking Water,4483
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Other,Private Groundwater Pumping,Raw Water,1569
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Multi-Family,,Drinking Water,7813
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Single Family,,Drinking Water,18762
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Saline water intrusion barrier,Aquifer Recovery Program (ARP) Pumping (not desalinated),Raw Water,463
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Saline water intrusion barrier,Saline and Other Groundwater Outflows to SF Bay via the Newark Aquifer,Raw Water,7190
23,Alameda County Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6868,Sales/Transfers/Exchanges to other agencies,,Raw Water,0
30,Alhambra  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5557,Commercial,Includes Institutional and Governmental,Drinking Water,1422
30,Alhambra  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5557,Industrial,,Drinking Water,68
30,Alhambra  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5557,Landscape,,Drinking Water,77
30,Alhambra  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5557,Losses,,Drinking Water,970
30,Alhambra  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5557,Other,Non-Potable Water and Fire,Other Non-Potable Water,386
30,Alhambra  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5557,Single Family,,Drinking Water,2994
30,Alhambra  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5557,Multi-Family,,Drinking Water,3465
55,Amador Water Agency,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5577,Losses,,Raw Water,2305
55,Amador Water Agency,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5577,Agricultural irrigation,,Raw Water,186
55,Amador Water Agency,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5577,Industrial,,Raw Water,82
55,Amador Water Agency,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5577,Losses,,Drinking Water,676
55,Amador Water Agency,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5577,Sales/Transfers/Exchanges to other agencies,Sales to wholesale customers,Drinking Water,1407
55,Amador Water Agency,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5577,Commercial,Includes institutional uses,Drinking Water,1091
55,Amador Water Agency,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5577,Multi-Family,,Drinking Water,150
55,Amador Water Agency,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5577,Single Family,,Drinking Water,1846
64,Anaheim  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6851,Multi-Family,,Drinking Water,11374
64,Anaheim  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6851,Other Potable,"(CII) Comm/Institut, Indust (excluding recycled water)",Drinking Water,20912
64,Anaheim  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6851,Landscape,Golf Courses,Raw Water,349
64,Anaheim  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6851,Other,Fire/Temp,Drinking Water,796
64,Anaheim  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6851,Losses,,Drinking Water,3282
64,Anaheim  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6851,Single Family,,Drinking Water,20098
82,Antioch  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6783,Multi-Family,,Drinking Water,1368.723981
82,Antioch  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6783,Single Family,,Drinking Water,10013.78105
82,Antioch  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6783,Commercial,"Includes commercial, industrial, and institutional/governmental",Drinking Water,1595.821682
82,Antioch  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6783,Landscape,Includes commercial and City irrigation meters,Drinking Water,2528.763588
82,Antioch  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6783,Losses,Non-revenue water,Drinking Water,116.6177383
87,Apple Valley Ranchos Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5448,Agricultural irrigation,,Raw Water,4912
87,Apple Valley Ranchos Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5448,Losses,,Drinking Water,710
87,Apple Valley Ranchos Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5448,Other,Fire Services and Temporary Meter Services,Drinking Water,28
87,Apple Valley Ranchos Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5448,Landscape,,Drinking Water,588
87,Apple Valley Ranchos Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5448,Institutional/Governmental,Public Authority,Drinking Water,517
87,Apple Valley Ranchos Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5448,Industrial,,Drinking Water,2
87,Apple Valley Ranchos Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5448,Commercial,,Drinking Water,1736
87,Apple Valley Ranchos Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5448,Single Family,,Drinking Water,6486
93,Arcadia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,5447,Single Family,,Drinking Water,7994
