ORG_ID,WATER_SUPPLIER_NAME,WORKSHEET_NAME,REVIEWED_BY_DWR,REQUIREMENTS_ADDRESSED,WATER_DEMAND_TYPE,WATER_DEMAND_VOLUME_2020,WATER_DEMAND_VOLUME_2025,WATER_DEMAND_VOLUME_2030,WATER_DEMAND_VOLUME_2035,WATER_DEMAND_VOLUME_2040,WATER_DEMAND_VOLUME_2045
13,Adelanto  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4647,4996,5260,5426,5584,5766
13,Adelanto  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,0,20,23,25,25,27
13,Adelanto  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
23,Alameda County Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,53545,60900,60400,60100,60200,67500
23,Alameda County Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
23,Alameda County Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,,,,,,
30,Alhambra  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
30,Alhambra  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
30,Alhambra  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,9382,10433,10526,10621,10717,10812
55,Amador Water Agency,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,940,983,1222,1230,1237,1245
55,Amador Water Agency,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
55,Amador Water Agency,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,7743,7954,8113,8195,8251,8322
64,Anaheim  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
64,Anaheim  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,101,120,120,120,120,120
64,Anaheim  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,56811,58758,62580,64058,65651,66217
82,Antioch  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
82,Antioch  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,74,78,82,86,90,95
82,Antioch  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,5091,4600,4682,4763,4844,4926
87,Apple Valley Ranchos Water Company,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
87,Apple Valley Ranchos Water Company,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
87,Apple Valley Ranchos Water Company,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,14979,15846,16466,17120,17810,18538
93,Arcadia  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
93,Arcadia  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,13935,14601,14808,15019,15234,15451
93,Arcadia  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,,,,,,
94,Arcata  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,583,651,685,722,761,800
94,Arcata  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,,,,,,
94,Arcata  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
102,Arvin Community Service District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,837,1057,1101,1147,1193,0
102,Arvin Community Service District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
102,Arvin Community Service District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
107,Atascadero Mutual Water Company,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,,,,,,
107,Atascadero Mutual Water Company,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
107,Atascadero Mutual Water Company,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,1726,1801,1908,1980,2058,2140
117,Azusa Light and Water,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
117,Azusa Light and Water,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,0,0,0,0,0,0
117,Azusa Light and Water,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,18150.45,18551.8,18853.46,19160.04,19471.59,19788.21
123,Bakersfield  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
123,Bakersfield  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,664,2240,8961,8961,8961,
123,Bakersfield  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,45649,50190,54873,59991,65589,0
124,Bakman Water Company,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
124,Bakman Water Company,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
124,Bakman Water Company,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1056,1213,1172,1242,1313,0
